internal_name,parameter,description
ADSATHOD,Sampled_Throttle_Override,[ADSATHOD] Filtered value override bit for the Sampled_Throttle sensor.
ADSATHPZ,Sampled_Throttle_Priority,[ADSATHPZ] Sampled_Throttle mux override priority
ADSATHSE,Sampled_Throttle_Fault_Set,[ADSATHSE] Sampled_Throttle_Fault_Count when error set
ADSATHXA,Sampled_Throttle_X_Axis,[ADSATHXA] Sampled_Throttle AD Breakpoint Table
ADSATHYA,Sampled_Throttle_Y_Axis,[ADSATHYA] Sampled_Throttle Lookup Output Table
ADTHHIER,Throttle_Validation_Switch_High_Error,[ADTHHIER] Error set when throttle switches are both active
ADTHLOER,Throttle_Validation_Switch_Low_Error,[ADTHLOER] Error set when throttle switches are both inactive
ADTHPDER,Throttle_Validation_Process_Error,[ADTHPDER] Error set when throttle pot does not agree with throttle switches
ADTHRWOD,Sampled_Throttle_Raw_Override,[ADTHRWOD] Enable bit for the Sampled_Throttle sensor.
ADTHRWPZ,Sampled_Throttle_Raw_Priority,[ADTHRWPZ] Sampled_Throttle current raw override priority
ADTHRWUV,Sampled_Throttle_Raw_User_Value,[ADTHRWUV] Sampled_Throttle raw override user value
ADUFAAPR,Ambient_Air_Pressure_Unfiltered,[ADUFAAPR] Ambient_Air_Pressure raw value linearized but unfiltered
ADUFBSPR,Boost_Pressure_Unfiltered,[ADUFBSPR] Boost_Pressure raw value linearized but unfiltered
ADUFBTVT,Battery_Voltage_Unfiltered,[ADUFBTVT] Battery_Voltage raw value linearized but unfiltered
ADUFCLTP,Coolant_Temperature_Unfiltered,[ADUFCLTP] Coolant_Temperature raw value linearized but unfiltered
ADUFFLTP,Fuel_Temperature_Unfiltered,[ADUFFLTP] Fuel_Temperature raw value linearized but unfiltered
ADUFIMTP,Intake_Manifold_Temperature_Unfiltered,[ADUFIMTP] Intake_Manifold_Temperature raw value linearized but unfiltered
ADUFOLPR,Oil_Pressure_Unfiltered,[ADUFOLPR] Oil_Pressure raw value linearized but unfiltered
ADUFROTH,Remote_Throttle_Unfiltered,[ADUFROTH] Remote_Throttle raw value linearized but unfiltered
ADUFSATH,Sampled_Throttle_Unfiltered,[ADUFSATH] Sampled_Throttle raw value linearized but unfiltered
ADUOAAPR,Ambient_Air_Pressure_User_Value,[ADUOAAPR] Ambient_Air_Pressure Filtered Value User Value
ADUOBSPR,Boost_Pressure_User_Value,[ADUOBSPR] Boost_Pressure Filtered Value User Value
ADUOBTVT,Battery_Voltage_User_Value,[ADUOBTVT] Battery_Voltage Filtered Value User Value
ADUOCLTP,Coolant_Temperature_User_Value,[ADUOCLTP] Coolant_Temperature Filtered Value User Value
ADUOFLTP,Fuel_Temperature_User_Value,[ADUOFLTP] Fuel_Temperature Filtered Value User Value
ADUOIMTP,Intake_Manifold_Temperature_User_Value,[ADUOIMTP] Intake_Manifold_Temperature Filtered Value User Value
ADUOOLPR,Oil_Pressure_User_Value,[ADUOOLPR] Oil_Pressure Filtered Value User Value
ADUOROTH,Remote_Throttle_User_Value,[ADUOROTH] Remote_Throttle Filtered Value User Value
ADUOSATH,Sampled_Throttle_User_Value,[ADUOSATH] Sampled_Throttle Filtered Value User Value
ADUVEBLV,EB_Switch_Level_User_Value,[ADUVEBLV] User value for Engine Brake
ADUVMNFM,Manual_Fan_Level_User_Value,[ADUVMNFM] User Value for Manual Fan Level (Requested % fan Speed)
ADWFCS,Water_In_Fuel_Filter_Constant,[ADWFCS] Water_In_Fuel AD Filter Constant
ADWFER,Water_In_Fuel_Error,"[ADWFER] Bit 8, Water In Fuel fault"
ADWFFC,Water_In_Fuel_Fault_Clear,[ADWFFC] Water_In_Fuel_Fault_Count when error cleared
ADWFFD,Water_In_Fuel_Fault_Decrement,[ADWFFD] Water_In_Fuel decrement value for setting error
ADWFFI,Water_In_Fuel_Fault_Increment,[ADWFFI] Water_In_Fuel increment value for setting error
ADWFFS,Water_In_Fuel_Fault_Set,[ADWFFS] Water_In_Fuel_Fault_Count when error set
ADWFFT,Water_In_Fuel,[ADWFFT] Water_In_Fuel raw value linearized and filtered
ADWFGD,Water_In_Fuel_Global_Default,[ADWFGD] Water_In_Fuel AD global default value
ADWFHE,Water_In_Fuel_High_Error,[ADWFHE] Water_In_Fuel High Error Indication
ADWFHL,Water_In_Fuel_High_Limit,[ADWFHL] Water_In_Fuel high limit for the raw value
ADWFLE,Water_In_Fuel_Low_Error,[ADWFLE] Water_In_Fuel Low Error Indication
ADWFLL,Water_In_Fuel_Low_Limit,[ADWFLL] Water_In_Fuel low limit for the raw value
ADWFOD,Water_In_Fuel_Override,[ADWFOD] Filtered value override bit for the Water_In_Fuel sensor.
ADWFPZ,Water_In_Fuel_Priority,[ADWFPZ] Water_In_Fuel mux override priority
ADWFRC,Water_In_Fuel_Raw,[ADWFRC] Water_In_Fuel sampled raw value
ADWFRWOD,Water_In_Fuel_Raw_Override,[ADWFRWOD] Enable bit for the Water_In_Fuel sensor.
ADWFRWPZ,Water_In_Fuel_Raw_Priority,[ADWFRWPZ] Water_In_Fuel current raw override priority
ADWFRWUV,Water_In_Fuel_Raw_User_Value,[ADWFRWUV] Water_In_Fuel raw override user value
ADWFUF,Water_In_Fuel_Unfiltered,[ADWFUF] Water_In_Fuel raw value linearized but unfiltered
ADWFUV,Water_In_Fuel_User_Value,[ADWFUV] Water_In_Fuel Filtered Value User Value
ADWIFXA,Water_In_Fuel_X_Axis,[ADWIFXA] Water_In_Fuel AD Breakpoint Table
ADWIFYA,Water_In_Fuel_Y_Axis,[ADWIFYA] Water_In_Fuel Lookup Output Table
AENBLFLG,Software_AENBLFLG,[AENBLFLG] LENGTH_OF_ALG_ENABLE_FLAGS_TABLE
AFC,Group_AFC,[AFC] AFC FUELING INFORMATION
AFCNICTA,AFC_Timing_Increment,[AFCNICTA] Timing advance added to base timing anytime AFC is limiting fueling
AFENMAN,AFC_Override_Enable,[AFENMAN] Bit 3 of 0-15 in word C
AFFL,AFC_Fueling,[AFFL] fueling limit as calculated by AFC Fueling algorithm
AFFLLMXA,AFC_Engine_Speed_Axis,[AFFLLMXA] Engine speed axis used by AFC to determine fueling limit (21 values)
AFFLLMYA,AFC_Boost_Pressure_Axis,[AFFLLMYA] Boost Pressure axis used by AFC to determine fuel limit (14 values)
AFFLLMZA,AFC_Fueling_Table,[AFFLLMZA] AFC look-up table defining fueling limit as a function of boost and engine spee
AFFLMAN,AFC_Fueling_Override_Value,[AFFLMAN] AFC fueling derate value when AFC override is enabled
AFICTA,AFC_Timing_Increment_Value,[AFICTA] Calibratible timing increment that is added to base timing anytime AFC is limit
AHDRLAEN,AH_Direct_Derate_Enable,[AHDRLAEN] ENABLE/DISABLE turbo protection latched fuel derate
AHEN,AH_Enable,[AHEN] Bit 5 ENABLE/DISABLE for Air Handeling feature. Bit 11 of 0-15
AHFLDRLA,AH_Fuel_Derate_Latch,[AHFLDRLA] Indicates turbo overspeed protection fuel derate
AHIFGR,Group_COMB_MGR,[AHIFGR] Combustion Manager informations.
AIRCOMP7,Group_AIR_COMPRESSOR_7,[AIRCOMP7] Group containing electronic constants for Smart Air Compressor
ALPHA,Alpha,[ALPHA] ALPHA PARAMETER 0.0 = URBAN 1.0 = OPEN ROAD
ALPHADET,Group_ALPHADET,[ALPHADET] ALPHA DETERMINATION
ALT_LIM,Group_ALT_LIM,[ALT_LIM] ALTITUDE DERATE GROUP
ANEN,Accelerator_Interlock_Enable,"[ANEN] Bit 7 of 0-15 in word C, Accelerator Interlock Enable Bit"
APAAPRSS,Alpha_Low_Ambient_Air_Pressure,[APAAPRSS] Alpha based only on ambient air pressure logic
APAFEN,Alpha_AFC_Enable,[APAFEN] Bit B Word 0. Enables alpha afc subalgorithm for Alpha_Base calculation
APAFSS,Alpha_AFC,[APAFSS] result of AFC algorithm
APAFTR,Alpha_AFC_Timer,[APAFTR] Trace the time since fueling state is not AFC or LSG.
APAFTRTM,AFC_Alpha_Timeout,[APAFTRTM] Time that must elapse without AFC limiting before ALPHA may be set to one
APAPBA,Alpha_Base,"[APAPBA] Result of AFC, LSG, On Governor, and Fuel Rate alpha comparison"
APAPST,Alpha_State,"[APAPST] Indicate the source (base, user, altitude, epf, slave, esp) of alpha"
APEGPNEN,Alpha_Engine_Protection_Override_Enable,[APEGPNEN] Bit E Word 0. Enables logic to use engine protection alpha
APFLDLRT,Filtered_Fuel_Delivery_Rate,"[APFLDLRT] fuel rate, after filtering, which alpha uses in comparison to trigger Fuel_Rate"
APFLFTTC,Alpha_Fuel_Rate_Filter_Constant,[APFLFTTC] Time constant of LB/HR filter used in the alpha fuel rate calculations
APFLRTAP,Alpha_Fuel_Rate,[APFLRTAP] result of Fuel Rate algorithm
