address,name,type,comment
0x0040b9b8,fuel_correction_above_target_count,byte,consecutive cycles fuel timing actual>=target
0x0040b9b9,fuel_correction_below_target_count,byte,consecutive cycles fuel timing actual<target
0x0040b9c2,fuel_correction_ramp_step_count,word,phase step counter for fuel correction ramp
0x0040b0fa,protection_throttle_clamp_eval_flags,byte,med throttle clamp in-range/out-of-range bits
0x0040aaa6,emission_feature_engage_flag,byte,set when emission feature needs to engage
0x0040b9bc,fuel_correction_timing_target,word,target injection timing offset for protection fuel correction
0x0040b5a0,protection_throttle_position_measured,word,captured throttle position (or IAT in IAT-mode) for protection phase A
0x0040a11c,emission_fuel_demand_output,word,low write-only emission fuel demand output
0x0040a5f4,cold_start_phase26_fuel_mode_flag,word,cold-start phase 2.6 fuel mode flag
0x0040a600,injection_timing_cylinder_check_flags,word,per-cylinder injection timing shortfall bitmask
0x0040a6b6,governor_speed_sync_stable_flag,word,governor speed sync stable gate for diag counter
0x0040a6ba,governor_speed_stability_diag_counter,word,integrating speed-instability diagnostic counter
0x0040b084,governor_b_boost_demand_ema_eighth,word,med EMA of governor-B combined demand scaled 1/8
0x0040b086,governor_b_boost_demand_floor,word,floor for governor-B blend interpolation
0x0040b08a,governor_b_fuel_demand_ema,word,EMA of final governor-B fuel demand output
0x0040be28,sensor_generic_fault_status,word,generic sensor channel fault status 0/1/2
0x0040a782,governor_fuel_derate_threshold_exceeded,word,set when a fault-derate channel threshold exceeded
0x0040a786,governor_fuel_derate_active,word,main fault-derate-active flag
0x0040a78a,governor_fuel_derate_j1939_latch,byte,J1939 derate trigger latch
0x0040a790,governor_fuel_derate_state,word,med derate state 0/1/3 status word
0x0040b19e,calibBlock1_sensor_value,word,processed sensor value feeding adaptive fuel-trim calibBlock1
0x0040b32e,calibBlock1_outOfRange_debounce_counter,word,counts cycles sensor outside calib window
0x0040b330,calibBlock1_inRange_flag,word,in-range result flag gating EEPROM calib update
0x0040b332,calibBlock1_inRange_debounce_counter,word,counts cycles sensor inside calib window
0x0040b336,calibBlock1_learned_trim_cooldown_timer,word,countdown before learned-trim averaging proceeds
0x0040b342,iat_protection_fault_action_code,word,med fault action code 1-4 (non-zero writer not found)
0x0040b560,protection_coldStart_channelA_state,word,cold-start protection channel A state 0-4
0x0040b566,protection_coldStart_channelB_state,word,cold-start protection channel B state 0-4
0x0040b570,fuel_temp_derate_state,word,fuel temp derate state machine 0-4
0x0040b66c,rom_crc_calc_phase,word,ROM CRC computation phase 0-4
0x0040b8ba,cam_timing_transition_state,word,cam timing advance/retard transition state
0x0040b8c0,cam_timing_advance_target,dword,cam advance target (table*100) slew setpoint
0x0040b9c4,cam_sync_validation_abort_reason,word,med abort reason code 1-5 (write-only diag)
0x0040b9c6,cam_sync_validation_state,word,cam-sync validation phase 1/2/3/4
0x0040a5c8,fuel_blend_compensation_integrator,dword,blend-correction ramp accumulator clamped to limit
0x00408f4c,protection_fault_category_enable_mask,word,read-only ROM; 4 bits enable fault categories
0x0040a44c,boost_correction_step_counter,word,ramp counter gating fuel_blend_correction_inhibit
0x0040a792,protection_torque_derate_ramp,word,rate-limited 0..256 ramp blending torque upper cap
0x0040aaa4,governor_table_check_startup_delay,word,countdown suppressing governor table nonzero-checks at startup
0x0040b046,protection_speed_track_active_flag,word,set when protection active and speed error within threshold
0x0040b548,fuel_temp_trim_comp_ema,word,EMA of fuel temp trim (filter 003fcece) for RPM ratio
0x0040a5e0,fuel_blend_compensation_step,dword,per-iteration step for blend compensation integrator
0x0040655c,fuel_blend_compensation_limit,dword,read-only ROM upper clamp for blend compensation integrator
0x0040a5c6,fuel_blend_compensation_direction_flag,word,blend compensation error-direction flag
0x0040a44e,boost_correction_eligible_flag,word,set when all boost-correction conditions met
0x0040aac8,governor_load_startup_timer,word,up-counter clearing governor_load_startup_inhibit at limit
0x0040b04a,protection_speed_error_over_threshold_flag,word,set when speed error exceeds tracking threshold
0x0040b540,fuel_temp_trim_deviation_ema,word,EMA of RPM/trim deviation stability metric
0x0040a5be,fuel_demand_boost_compensation_accumulated,dword,boost demand compensation accumulator clamped to limit
0x0040a5dc,fuel_demand_boost_compensation_step,dword,signed delta for boost compensation accumulator
0x0040a67a,boost_correction_mode_flags,word,status 0/0x40/0x80 OR-input to boost_pressure_source_flags
0x0040a7d4,boost_pressure_source_flags,word,combined boost-source selection and fault flags
0x0040b32a,calibBlock1_warmup_pending_flag,word,set when calibBlock1 data changed and copy needed
0x0040b8e4,cam_timing_position_correction_term,word,signed P-controller cam timing correction output
0x0040b8ec,cam_timing_fault_activation_counter,word,ramp counter setting safety_bits_1 0x1000 at limit
0x0040b938,torque_limit_timing_boost_blend,word,boost-map-blended timing correction (winner 1)
0x0040b942,torque_limit_fuel_demand_slewed,word,rate-limited fuel demand tracker for torque limit
0x0040b948,torque_limit_timing_thermal_max,word,max of warmup and fuel-slew timing corrections
0x0040b952,torque_limit_timing_load_correction,dword,load*RPM scaled timing correction (winner 5)
0x0040b95a,torque_limit_timing_boost_load_correction,word,boost-map*load scaled timing correction (winner 0x11)
0x0040b9d8,cam_timing_advance_accumulator,dword,accumulates positive cam-timing delta vs threshold
0x0040b9dc,cam_timing_retard_accumulator,dword,accumulates negative cam-timing delta vs threshold
0x0040b9e2,cam_timing_monitor_state,word,cam timing monitor state 0/1/2/3
0x0040b9ee,cbd_cylinder_debounce_counter_array,word,per-cylinder cold-burndown debounce counter array base (indexed)
0x0040ba10,cbd_warmup_cycle_counter,word,cold-burndown warmup cycle counter at governor setpoint
0x0040ba13,cbd_cylinder_event_counter,byte,cold-burndown per-cylinder event counter
0x0040ba14,cbd_cylinder_offset_sum,word,sum of per-cylinder debounce counters during CBD pass
0x0040ba62,cssc_injection_timing_accumulator,dword,CSSC injection-system positive timing accumulator
0x0040ba68,cssc_injection_diag_state,word,CSSC injection diagnostic state 0/1/2/3
0x00409ebc,cam_sync_balance_limit,word,read-only ROM; upper bound for cam-sync advance/retard balance counters
0x0040ae6c,aux_torque_fuel_demand_ramp,word,aux torque fuel demand ramp (mode 6) into governor_proportional_gain
0x0040af07,coolant_overheat_condition_flags,byte,bit0 temp divergence bit1 absolute overtemp; ==3 clears fault ring
0x0040b1fe,protection_mode_a_enable_event_count,word,counts protection-enable transitions (mode A) sets engine_diag 0x400
0x0040b200,protection_mode_b_enable_event_count,word,counts protection-enable transitions (mode B) sets engine_diag 0x800
0x0040b2d0,cold_start_emission_fault_restart_counter,word,drives two-phase fuel schedule on emission-fault restart
0x0040b2d2,cold_start_emission_fault_active_flag,byte,set when j1939 emission-fault debounce expires
0x0040b536,governor_temp_diag_debounce_limit,word,temp-compensated limit for governor temp diag counter
0x0040b59a,protection_throttle_integral_accumulator,dword,protection throttle PID integral accumulator
0x0040b8d4,cam_timing_speed_window_debounce_count,word,debounce for cam speed window; safety_bits_1 0x200
0x0040b8d6,cam_sync_reference_a_debounce_count,word,debounce for cam sync ref A; safety_bits_1 0x400
0x0040b8d8,cam_sync_reference_b_debounce_count,word,counts cam ref B enable cycles vs threshold
0x0040b8de,cam_timing_correction_target,word,signed cam timing correction setpoint
0x0040b8e2,cam_timing_correction_convergence_count,word,debounce for cam timing convergence; safety_bits_1 0x800
0x0040b900,cam_sync_reference_check_enable_count,word,counts cam ref check A enable cycles
0x0040b904,cam_sync_reference_b_threshold_reached_flag,byte,set when cam ref B debounce reached threshold
0x0040b992,injection_timing_offset_arb_lower_limit,word,lower-limit floor clamping injection timing demand (pressure path)
0x0040b99a,injection_timing_offset_sync_fault_addend,word,timing offset addend under sync fault (winner 0xf)
0x0040b99e,group21_fault_detected_flag,word,oil/temp differential fault-detected flag gating fault ring
0x0040b9a0,group21_monitor_state_code,word,med group21 monitor state 0/2/3 (write-only)
0x0040b960,injection_timing_demand_pressure_calc,word,HPCR pressure-path injection timing demand clamped at arb floor
0x0040b986,injection_timing_offset_rpm_corrected,word,arbitrated timing offset after optional RPM-ratio correction
0x00409fe2,hpcr_protection_debounce_count_threshold,word,read-only ROM; debounce count for hpcr fuel demand protection
0x0040a034,protection_fault_match_debounce_threshold,word,read-only ROM; fault-match count threshold channels 19/20
0x0040a5a2,fuel_blend_weight_threshold_active,word,working/selected blend weight threshold by blend mode
0x0040a666,governor_speed_deviation_from_filter,word,governor speed raw minus fault-filtered reference
0x0040a66e,boost_pressure_fault_status,word,aggregated boost pressure source fault/validity flags
0x0040af08,j1939_amber_warning_lamp_active,word,amber warning lamp active flag for DM1
0x0040aff8,smoke_limit_transient_counter,word,debounce counter for smoke limit transient active
0x0040b1f8,fuel_temp_protection_timeout_counter,word,countdown for fuel temperature protection active duration
0x0040b22c,cold_start_coolant_temp_error,word,signed setpoint minus coolant temp; cold-start P/I input
0x0040b626,governor_validation_iteration_count,word,counts qualifying iterations during governor setpoint validation
0x0040b68a,governor_override_load_percent,word,0 or 100 percent load demand from override speed controller
0x0040bb88,sensor_validation_unsettled_flag,word,med 1=unsettled 0=settled-and-changed sensor validation
